country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,generosity1,trust_government_corruption,year
Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.3651,0.09719,2015
Afghanistan,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.31268,0.07112,2016
Afghanistan,3.7939999103546103,0.401477217674255,0.581543326377869,0.18074677884578697,0.106179520487785,0.311870932579041,0.0611578300595284,2017
Afghanistan,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,2018
Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,2019
Afghanistan,2.566900015,0.30070585,0.470366955,0.266051531,0.0,0.135234714,0.001225785,2020
Albania,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.14272,0.06412999999999999,2015
Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,2016
Albania,4.64400005340576,0.996192753314972,0.8036852478981021,0.731159746646881,0.381498634815216,0.20131294429302202,0.0398642159998417,2017
Albania,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032,2018
Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,2019
Albania,4.882699966000001,0.906653047,0.671070457,0.8463296290000001,0.461945891,0.171027765,0.025361285,2020
Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17382999999999998,2015
Algeria,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.07044,0.16157,2016
Algeria,5.872000217437741,1.09186446666718,1.1462174654007,0.6175846457481379,0.233335807919502,0.0694366469979286,0.14609611034393302,2017
Algeria,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135,2018
Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
Algeria,5.005099773,0.9438560009999999,0.8033851390000001,0.745418549,0.083943799,0.118915014,0.12919065400000002,2020
Angola,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.12344000000000001,0.07122,2015
Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.12070999999999998,0.08434,2016
Angola,3.79500007629395,0.8584281802177429,1.1044119596481299,0.0498686656355858,0.0,0.09792649000883098,0.0697203353047371,2017
Angola,3.795,0.73,1.125,0.26899999999999996,0.0,0.079,0.061,2018
Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11450999999999999,0.08484,2015
Argentina,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.10989000000000002,0.07296,2016
Argentina,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.49451920390129106,0.109457060694695,0.05973988771438599,2017
Argentina,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,2018
Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,2019
Argentina,5.974699974,1.028465629,0.900567949,0.849773705,0.520840347,0.070100471,0.06041505900000001,2020
Armenia,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.07855,0.039,2015
Armenia,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.07793,0.036160000000000005,2016
Armenia,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017
Armenia,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,2018
Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,2019
Armenia,4.676799774,0.8082624079999999,0.7574794290000001,0.77585727,0.37807580799999996,0.107225738,0.104618184,2020
Australia,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.43562,0.35636999999999996,2015
Australia,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.47407,0.32331,2016
Australia,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,2017
Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,2018
Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,2019
Australia,7.222799778,1.310396433,0.9448546170000001,1.022607684,0.621877193,0.324973613,0.335996419,2020
Austria,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.33088,0.18675999999999998,2015
Austria,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.32865,0.21348000000000003,2016
Austria,7.00600004196167,1.4870972633361799,1.4599449634552,0.8153284192085269,0.567766189575195,0.316472321748734,0.22106036543846105,2017
Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,2018
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
Austria,7.294199944,1.317285538,0.9280458690000001,1.000933528,0.6033688779999999,0.255509764,0.28125613899999996,2020
Azerbaijan,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.07799,0.16065,2015
Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914000000000002,2016
Azerbaijan,5.234000205993651,1.1536017656326298,1.15240025520325,0.5407757759094239,0.39815583825111406,0.0452693402767181,0.180987507104874,2017
Azerbaijan,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,2018
Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,2019
Azerbaijan,5.164800167,0.990272701,0.819308281,0.731134057,0.467734724,0.040113214,0.24730718100000001,2020
Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015
Bahrain,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.17147,0.25772,2016
Bahrain,6.08699989318848,1.4884122610092199,1.3231104612350502,0.653133034706116,0.536746919155121,0.17266848683357197,0.257042169570923,2017
Bahrain,6.105,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001,2018
Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,2019
Bahrain,6.227300167,1.296692252,0.876342118,0.838836372,0.610399902,0.287453711,0.12669725699999998,2020
Bangladesh,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.21222,0.12569,2015
Bangladesh,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.19132000000000002,0.12583,2016
Bangladesh,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.17225535213947304,0.123717859387398,2017
Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,2018
Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,2019
Bangladesh,4.832799911,0.556156278,0.687292993,0.694940507,0.604130566,0.17674511699999998,0.176735908,2020
Belarus,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.11045999999999999,0.1909,2015
