Country,Happiness_Score,Economy_GDP_per_Capita,Family,Health_Life_Expectancy,Freedom,Generosity1,Trust_Government_Corruption,Year
Finland,7.808700085,1.285189509,0.954329729,0.961271405,0.66231674,0.159670442,0.477857262,2020
Denmark,7.645599842,1.326948524,0.955990791,0.979332566,0.665039897,0.24279339600000002,0.49526032799999997,2020
Switzerland,7.559899807000001,1.39077425,0.942846596,1.040533185,0.62895447,0.269055754,0.407945901,2020
Iceland,7.504499912000001,1.326501608,0.9746695759999999,1.000843406,0.661980748,0.362330228,0.14454077199999998,2020
Norway,7.487999916000001,1.42420733,0.952486575,1.0080718990000002,0.670200884,0.287985086,0.43410056799999996,2020
Netherlands,7.448900223,1.338946342,0.93913883,0.9756753440000001,0.61362648,0.336317569,0.368569762,2020
Sweden,7.353499889,1.322235227,0.926311195,0.9864704609999999,0.6502977010000001,0.272827893,0.442066371,2020
New Zealand,7.2996001239999995,1.242317915,0.9491189720000001,1.008138299,0.646789908,0.325726211,0.46126827600000003,2020
Austria,7.294199944,1.317285538,0.9280458690000001,1.000933528,0.6033688779999999,0.255509764,0.28125613899999996,2020
Luxembourg,7.2375001910000005,1.536676049,0.9069122079999999,0.986442685,0.610137045,0.19595392,0.367041469,2020
Canada,7.23210001,1.301647663,0.927176654,1.022501945,0.644028127,0.28152892,0.35170185600000003,2020
Australia,7.222799778,1.310396433,0.9448546170000001,1.022607684,0.621877193,0.324973613,0.335996419,2020
United Kingdom,7.164500237,1.273061037,0.93668282,0.97570008,0.525168657,0.37343344100000003,0.322601646,2020
Israel,7.128600121,1.216463685,0.913571239,1.008052945,0.42069947700000004,0.26686179600000004,0.09989845,2020
Costa Rica,7.121399879,0.981107712,0.901545942,0.9396353359999999,0.6450177429999999,0.131266311,0.096362092,2020
Ireland,7.093699932000001,1.446886778,0.9420815709999999,0.975670695,0.587779939,0.295426995,0.37343326200000004,2020
Germany,7.075799942000001,1.314184546,0.898874462,0.9721148009999999,0.564274132,0.252037704,0.309362292,2020
United States,6.939599991000001,1.37398684,0.914219022,0.831618011,0.534608245,0.298143059,0.152284741,2020
Czech Republic,6.9109001160000005,1.212322354,0.914430678,0.89456445,0.505744576,0.046325929,0.049803223,2020
Belgium,6.863500117999999,1.2958427670000001,0.911632538,0.964901149,0.499805421,0.146966159,0.208724052,2020
United Arab Emirates,6.790800095,1.4310864209999998,0.8491811159999999,0.787814438,0.652936101,0.28065598,0.220213518,2020
Malta,6.772799968999999,1.2525132890000001,0.93037951,0.9720420240000001,0.633239031,0.341180831,0.17886407699999998,2020
France,6.663799762999999,1.268129349,0.937103748,1.029714227,0.5140509010000001,0.112607703,0.227303237,2020
Mexico,6.465000152999999,1.024387479,0.8386654259999999,0.831601024,0.553892553,0.083094485,0.083133668,2020
Taiwan Province of China,6.45539999,1.3274705409999998,0.894309103,0.8784379959999999,0.44940438899999996,0.150598705,0.131516352,2020
Uruguay,6.440100192999999,1.071000457,0.92281127,0.856928885,0.59426707,0.132143691,0.19342507399999997,2020
Saudi Arabia,6.406499863,1.334328532,0.874067068,0.759818137,0.548477471,0.087440684,0.163322315,2020
