Country,Happiness Score 2019,Happiness Score 2020,Percent Change,Average Cases in 2020
Afghanistan,3.203,2.566900015,-19.85950624,27197.25
Albania,4.719,4.882699966,3.468954567,12508.53691
Algeria,5.211,5.005099773,-3.951261313,34030.14469
Argentina,6.086,5.974699974,-1.828787808,487948.7533
Armenia,4.559,4.676799774,2.583895021,47559.07516
Australia,7.228,7.222799778,-0.071945517,14930.27566
Austria,7.246,7.294199944,0.665193817,71216.76527
Azerbaijan,5.208,5.164800167,-0.829489881,42317.09804
Bahrain,6.199,6.227300167,0.45652794,41441.36538
Bangladesh,4.456,4.832799911,8.456012365,230132.0334
Belarus,5.323,5.539899826,4.074766598,66334.27922
Belgium,6.923,6.863500118,-0.859452289,162144.6777
Benin,4.883,5.21600008,6.819579767,1588.09622
Bolivia,5.779,5.747499943,-0.545077989,76447.62162
Bosnia and Herzegovina,5.386,5.674099922,5.349051652,26654.43046
Botswana,3.488,3.478899956,-0.260895757,3371.66787
Brazil,6.3,6.375599861,1.199997794,2873792.145
Bulgaria,5.011,5.101500034,1.80602742,37109.88963
Burkina Faso,4.587,4.768700123,3.961197362,1637.228956
Burundi,3.775,3.775300026,0.007947709,358.0181159
Cambodia,4.7,4.848400116,3.157449277,186.4529412
Cameroon,5.044,5.084899902,0.81086245,14059.60465
Canada,7.278,7.23210001,-0.630667628,142256.0968
Central African Republic,3.083,3.475899935,12.74407833,3270.373288
Chad,4.35,4.422699928,1.671262713,964.9409722
Chile,6.444,6.228499889,-3.344197874,295359.262
China,5.191,5.123899937,-1.292623059,79551.18841
Colombia,6.125,6.163400173,0.6269416,516088.4917
Comoros,3.973,4.288599968,7.943618626,395.5081301
Costa Rica,7.167,7.121399879,-0.636251165,48203.84053
Croatia,5.432,5.504700184,1.33836863,31903.45338
Cyprus,6.046,6.15899992,1.869002977,3376.567114
Denmark,7.6,7.645599842,0.599997921,30138.38511
Dominican Republic,5.425,5.689199924,4.870044682,69172.30392
Ecuador,6.028,5.925199986,-1.705375149,92305.84967
Egypt,4.166,4.151400089,-0.350453937,65246.82919
El Salvador,6.253,6.34829998,1.524068127,18791.46875
Estonia,5.893,6.021800041,2.18564468,4394.417476
Ethiopia,4.286,4.186200142,-2.328508119,43648.58163
Finland,7.769,7.808700085,0.511006371,9532.62426
France,6.592,6.663799763,1.089195434,609229.93
Gabon,4.799,4.829299927,0.631380017,5838.604096
Gambia,4.516,4.750599861,5.194859632,1744.751724
Georgia,4.519,4.672599792,3.398977473,29911.67097
Germany,6.985,7.075799942,1.299927588,345007.8794
Ghana,4.996,5.147999763,3.042429203,29590.29693
Greece,5.287,5.514999866,4.312462001,25733.74194
Guatemala,6.436,6.398900032,-0.5764445,56344.98976
Guinea,4.534,4.949299812,9.159678253,7294.309524
Haiti,3.597,3.720799923,3.441754879,5909.376307
Honduras,5.86,5.953199863,1.590441348,48689.47297
Hungary,5.758,6.000400066,4.209796214,51356.82178
Iceland,7.494,7.504499912,0.140110915,2622.915584
India,4.015,3.573299885,-11.00124819,3217448.777
Indonesia,5.192,5.285600185,1.802777061,198602.377
Iran,4.548,4.672399998,2.735268206,371942.6215
Iraq,4.437,4.784800053,7.838630899,207111.4712
Ireland,7.021,7.093699932,1.035464065,34087.25407
Israel,7.139,7.128600121,-0.145676972,131818.8762
